QE_NAME,SOURCE,smrn_count,AAAsViewedByQE,QEAndAAAppended
HECDCS,NY-SPINE-WELL,0,NY-SPINE-WELL,HECDCS|NY-SPINE-WELL
HECDCS,NUV-NORWALK,0,NUV-NORWALK,HECDCS|NUV-NORWALK
GRRHIO,UR0967,0,UR0967,GRRHIO|UR0967
HIXNY,CAPCARD1,0,CAPCARD1,HIXNY|CAPCARD1
HEALTHIX,PHC.DUPLICATE2,0,PHC,HEALTHIX|PHC
GRRHIO,MOBG2,0,MOBG2,GRRHIO|MOBG2
HIXNY,GFHAMHSDOC,0,GFHAMHSDOC,HIXNY|GFHAMHSDOC
HIXNY,GFHINFUS,0,GFHINFUS,HIXNY|GFHINFUS
HIXNY,WMCAPSWHPODOC,0,WMCAPSWHPODOC,HIXNY|WMCAPSWHPODOC
GRRHIO,FLACRA,0,FLACRA,GRRHIO|FLACRA
HEALTHIX,PREC,0,PREC,HEALTHIX|PREC
HECDCS,ICIRCLE-SRVCS,0,ICIRCLE-SRVCS,HECDCS|ICIRCLE-SRVCS
HIXNY,HECCAHC,0,HECCAHC,HIXNY|HECCAHC
HEALTHIX,TFCFT,0,TFCFT,HEALTHIX|TFCFT
HIXNY,SMHADOC,0,SMHADOC,HIXNY|SMHADOC
HIXNY,WMCAPSGORSHDOC,0,WMCAPSGORSHDOC,HIXNY|WMCAPSGORSHDOC
BRONX,ASTORIA_PEDIATRIC_CENTER,0,ASTORIA PEDIATRIC CENTER,BRONX|ASTORIA PEDIATRIC CENTER
HEALTHIX,VIM,0,VIM,HEALTHIX|VIM
HEALTHIX,ECWTCPM,0,ECWTCPM,HEALTHIX|ECWTCPM
BRONX,ARMS_ACRES,0,ARMS ACRES,BRONX|ARMS ACRES
HIXNY,AMALHRTINFS,0,AMALHRTINFS,HIXNY|AMALHRTINFS
HEALTHIX,MSANTO,0,MSANTO,HEALTHIX|MSANTO
HEALTHIX,VRLM,0,VRLM,HEALTHIX|VRLM
HEALTHIX,ANYC,0,ANYC,HEALTHIX|ANYC
GRRHIO,UR0650,0,UR0650,GRRHIO|UR0650
GRRHIO,RR69,0,RR69,GRRHIO|RR69
HECDCS,BIKUR-CHOLIM,0,BIKUR-CHOLIM,HECDCS|BIKUR-CHOLIM
HEALTHIX,SSUH,0,SSUH,HEALTHIX|SSUH
GRRHIO,UR1992,0,UR1992,GRRHIO|UR1992
HECDCS,PULM-CRIT-CARE,0,PULM-CRIT-CARE,HECDCS|PULM-CRIT-CARE
HEALTHIX,YAQI,0,YAQI,HEALTHIX|YAQI
HEALTHIX,CARG,0,CARG,HEALTHIX|CARG
HECDCS,PREMIER-MED-GRP,0,PREMIER-MED-GRP,HECDCS|PREMIER-MED-GRP
HECDCS,RENAISSANCE,0,RENAISSANCE,HECDCS|RENAISSANCE
GRRHIO,RRH287,0,RRH287,GRRHIO|RRH287
GRRHIO,UR0870,0,UR0870,GRRHIO|UR0870
HEALTHIX,HMPC,0,HMPC,HEALTHIX|HMPC
HEALTHIX,HHHFQHC,0,HHHFQHC,HEALTHIX|HHHFQHC
TXD,SHRPED,0,SHRPED,TXD|SHRPED
GRRHIO,RR467,0,RR467,GRRHIO|RR467
HIXNY,STPLMAMMO,0,STPLMAMMO,HIXNY|STPLMAMMO
HECDCS,CARDIAC-ELECTRO,0,CARDIAC-ELECTRO,HECDCS|CARDIAC-ELECTRO
HIXNY,CPMGPOTSDM,0,CPMGPOTSDM,HIXNY|CPMGPOTSDM
HEALTHIX,INTBIO,0,INTBIO,HEALTHIX|INTBIO
BRONX,YONG_KANG_MEDICAL,0,YONG KANG MEDICAL,BRONX|YONG KANG MEDICAL
GRRHIO,UR0132,0,UR0132,GRRHIO|UR0132
GRRHIO,AJHC,0,AJHC,GRRHIO|AJHC
HEALTHIX,QMPC,0,QMPC,HEALTHIX|QMPC
HEALTHIX,SGMO,0,SGMO,HEALTHIX|SGMO
